user_1,user_2,relationship,closeness
0,1,friend,0.5888116352941604
1,0,friend,0.5888116352941604
0,98,friend,0.6908858736847117
98,0,friend,0.6908858736847117
0,97,child,0.9
97,0,parent,0.9
0,77,friend,0.7952958129232615
77,0,friend,0.7952958129232615
0,73,colleague,0.6
73,0,colleague,0.6
0,34,child,0.9
34,0,parent,0.9
0,64,friend,0.916959685543045
64,0,friend,0.916959685543045
0,87,child,0.9
87,0,parent,0.9
0,18,partner,0.08164687799908116
18,0,neighbor,0.08164687799908116
0,50,child,0.9
50,0,parent,0.9
1,2,colleague,0.6
2,1,colleague,0.6
1,99,friend,0.7315197414598302
99,1,friend,0.7315197414598302
1,4,friend,0.6520670909063726
4,1,friend,0.6520670909063726
1,97,friend,0.9801086010749533
97,1,friend,0.9801086010749533
1,96,father,0.9
96,1,child,0.9
1,25,father,0.9
25,1,child,0.9
1,66,friend,0.7122728963507159
66,1,friend,0.7122728963507159
1,71,partner,0.3404204068673144
71,1,partner,0.3404204068673144
1,76,client,0.14832150897422453
76,1,acquaintance,0.14832150897422453
1,41,parent,0.9
41,1,child,0.9
1,44,friend,0.6932264201265217
44,1,friend,0.6932264201265217
1,23,parent,0.9
23,1,child,0.9
2,4,acquaintance,0.062439120306680695
4,2,neighbor,0.062439120306680695
2,99,friend,0.6098398247950311
99,2,friend,0.6098398247950311
2,6,acquaintance,0.332772176657005
6,2,partner,0.332772176657005
2,87,child,0.9
87,2,parent,0.9
2,94,client,0.0883226430254761
94,2,neighbor,0.0883226430254761
2,43,client,0.3945336456415359
43,2,client,0.3945336456415359
2,66,acquaintance,0.20113045644606542
66,2,client,0.20113045644606542
2,88,friend,0.5115636305060346
88,2,friend,0.5115636305060346
2,21,neighbor,0.3907832349055798
21,2,client,0.3907832349055798
2,57,friend,0.7650312118691578
57,2,friend,0.7650312118691578
2,32,friend,0.9199985144753087
32,2,friend,0.9199985144753087
2,70,client,0.11040979788384281
70,2,acquaintance,0.11040979788384281
3,5,colleague,0.6
5,3,colleague,0.6
3,8,friend,0.7549184463087324
8,3,friend,0.7549184463087324
3,76,partner,0.020495941597273415
76,3,acquaintance,0.020495941597273415
3,38,partner,0.3813970974215399
38,3,neighbor,0.3813970974215399
3,27,friend,0.7784718452592472
27,3,friend,0.7784718452592472
3,6,partner,0.13108770560791844
6,3,client,0.13108770560791844
3,31,acquaintance,0.07207294023431182
31,3,neighbor,0.07207294023431182
3,50,friend,0.6209407677443928
50,3,friend,0.6209407677443928
4,6,mother,0.9
6,4,child,0.9
4,7,acquaintance,0.32052485778936785
7,4,partner,0.32052485778936785
4,33,friend,0.6541874454342581
33,4,friend,0.6541874454342581
4,76,mother,0.9
76,4,child,0.9
4,89,parent,0.9
89,4,child,0.9
5,6,friend,0.8850128632754591
6,5,friend,0.8850128632754591
5,7,friend,0.6107623962692759
7,5,friend,0.6107623962692759
5,44,partner,0.1897294328605622
44,5,acquaintance,0.1897294328605622
5,38,colleague,0.6
38,5,colleague,0.6
5,50,partner,0.07319513574024195
50,5,neighbor,0.07319513574024195
6,8,partner,0.2424391374857418
8,6,acquaintance,0.2424391374857418
6,9,child,0.9
9,6,parent,0.9
6,11,partner,0.25332343390018675
11,6,acquaintance,0.25332343390018675
6,20,partner,0.2364249026788025
20,6,acquaintance,0.2364249026788025
6,29,friend,0.7534589829325715
29,6,friend,0.7534589829325715
6,90,friend,0.8726310781641109
90,6,friend,0.8726310781641109
6,38,friend,0.7576375841058816
38,6,friend,0.7576375841058816
7,9,colleague,0.6
9,7,colleague,0.6
7,10,neighbor,0.45975622654819853
10,7,neighbor,0.45975622654819853
7,12,acquaintance,0.3339206248108261
12,7,partner,0.3339206248108261
7,79,friend,0.9005197904384825
79,7,friend,0.9005197904384825
7,23,friend,0.7359053815546919
23,7,friend,0.7359053815546919
7,51,friend,0.57864188992728
51,7,friend,0.57864188992728
7,56,friend,0.8791856182609517
56,7,friend,0.8791856182609517
7,47,friend,0.6567838082645661
47,7,friend,0.6567838082645661
7,24,friend,0.6741013139697336
24,7,friend,0.6741013139697336
8,10,friend,0.5569891099741622
10,8,friend,0.5569891099741622
8,11,friend,0.75971281568491
11,8,friend,0.75971281568491
8,99,acquaintance,0.41325764887968996
99,8,partner,0.41325764887968996
8,93,friend,0.8382635125763244
93,8,friend,0.8382635125763244
8,26,parent,0.9
26,8,child,0.9
9,58,parent,0.9
58,9,child,0.9
9,67,mother,0.9
67,9,child,0.9
9,15,parent,0.9
15,9,child,0.9
9,65,parent,0.9
65,9,child,0.9
9,31,acquaintance,0.06832476794441589
31,9,partner,0.06832476794441589
9,71,friend,0.7122097177412563
71,9,friend,0.7122097177412563
9,95,friend,0.6065627723379693
95,9,friend,0.6065627723379693
9,21,friend,0.6559463460977918
21,9,friend,0.6559463460977918
10,14,mother,0.9
14,10,child,0.9
10,15,acquaintance,0.35831921494796165
15,10,client,0.35831921494796165
10,17,friend,0.7598444458835618
17,10,friend,0.7598444458835618
10,71,partner,0.32755990372067767
71,10,acquaintance,0.32755990372067767
10,50,friend,0.5131267653042249
50,10,friend,0.5131267653042249
10,53,client,0.42835299031409274
53,10,partner,0.42835299031409274
10,91,mother,0.9
91,10,child,0.9
11,12,partner,0.23587623655397522
12,11,neighbor,0.23587623655397522
11,13,parent,0.9
13,11,child,0.9
11,14,colleague,0.6
14,11,colleague,0.6
11,29,partner,0.1675910488365906
29,11,client,0.1675910488365906
11,67,parent,0.9
67,11,child,0.9
11,35,partner,0.29466775558674774
35,11,partner,0.29466775558674774
11,39,neighbor,0.03051775330926726
39,11,acquaintance,0.03051775330926726
11,46,friend,0.6631320945979347
46,11,friend,0.6631320945979347
11,49,client,0.36205058275908647
49,11,partner,0.36205058275908647
11,32,acquaintance,0.2814157242250265
32,11,client,0.2814157242250265
11,57,acquaintance,0.0898292764789661
57,11,partner,0.0898292764789661
12,13,friend,0.5028563382605438
13,12,friend,0.5028563382605438
12,14,colleague,0.6
14,12,colleague,0.6
12,16,acquaintance,0.35499521115747246
16,12,partner,0.35499521115747246
12,17,child,0.9
17,12,parent,0.9
12,69,friend,0.6533044209629832
69,12,friend,0.6533044209629832
12,50,friend,0.6012724464122949
50,12,friend,0.6012724464122949
12,89,neighbor,0.3430358487330066
89,12,partner,0.3430358487330066
13,14,neighbor,0.3265715858257844
14,13,client,0.3265715858257844
13,17,child,0.9
17,13,parent,0.9
13,38,acquaintance,0.17885345682430454
38,13,neighbor,0.17885345682430454
13,55,child,0.9
55,13,parent,0.9
13,82,friend,0.9715102546522594
