user_1,user_2,relationship,closeness
0,1,friend,0.925816051
1,0,friend,0.925816051
0,3,friend,0.851517179
3,0,friend,0.851517179
0,21,colleague,0.25
21,0,colleague,0.25
0,12,friend,0.9
12,0,friend,0.9
1,12,friend,0.9
12,1,friend,0.9
1,24,neighbor,0.368258028
24,1,partner,0.368258028
1,6,friend,0.85
6,1,friend,0.85
1,7,colleague,0.6
7,1,colleague,0.6
1,17,acquaintance,0.6
17,1,acquaintance,0.6
2,4,colleague,0.4
4,2,colleague,0.4
2,6,acquaintance,0.65
6,2,acquaintance,0.65
2,21,acquaintance,0.6
21,2,acquaintance,0.6
2,22,friend,0.8
22,2,friend,0.8
3,7,colleague,0.2
7,3,colleague,0.2
3,17,friend,0.6
17,3,friend,0.6
4,5,acquaintance,0.6
5,4,acquaintance,0.6
4,16,friend,0.8
16,4,friend,0.8
5,16,friend,0.8
16,5,friend,0.8
6,16,colleague,0.3
16,6,colleague,0.3
7,17,acquaintance,0.6
17,7,acquaintance,0.6
8,18,friend,0.7
18,8,friend,0.7
8,9,acquaintance,0.6
9,8,acquaintance,0.6
8,20,friend,0.8
20,8,friend,0.8
9,18,colleague,0.2
18,9,colleague,0.2
9,21,friend,0.85
21,9,friend,0.85
10,11,acquaintance,0.6
11,10,acquaintance,0.6
10,17,friend,0.9
17,10,friend,0.9
11,18,colleague,0.4
18,11,colleague,0.4
11,13,friend,0.85
13,11,friend,0.85
11,16,acquaintance,0.65
16,11,acquaintance,0.65
12,24,neighbor,0.5
24,12,acquaintance,0.5
12,16,colleague,0.35
16,12,colleague,0.35
13,18,acquaintance,0.6
18,13,acquaintance,0.6
13,16,friend,0.92
16,13,friend,0.92
14,22,parent,0.9
22,14,child,0.9
14,20,acquaintance,0.6
20,14,acquaintance,0.6
14,23,friend,0.8
23,14,friend,0.8
15,16,friend,0.85
16,15,friend,0.85
15,17,acquaintance,0.55
17,15,acquaintance,0.55
16,18,acquaintance,0.6
18,16,acquaintance,0.6
16,23,friend,0.8
23,16,friend,0.8
17,21,acquaintance,0.65
21,17,acquaintance,0.65
18,21,friend,0.75
21,18,friend,0.75
19,21,friend,0.85
21,19,friend,0.85
20,22,friend,0.8
22,20,friend,0.8
21,23,friend,0.8
23,21,friend,0.8
22,7,father,0.9
7,22,child,0.9
22,5,friend,0.73
5,22,friend,0.73
23,24,friend,0.8
24,23,friend,0.8
24,20,acquaintance,0.32
20,24,partner,0.32
24,3,father,0.9
3,24,child,0.9
