user_1,user_2,relationship,closeness
0,1,friend,0.925816051
1,0,friend,0.925816051
0,925,colleague,0.6
925,0,colleague,0.6
0,618,child,0.9
618,0,parent,0.9
0,580,acquaintance,0.368258028
580,0,partner,0.368258028
0,388,child,0.9
388,0,parent,0.9
0,365,child,0.9
365,0,parent,0.9
0,33,child,0.9
33,0,parent,0.9
0,116,colleague,0.6
116,0,colleague,0.6
0,39,acquaintance,0.49089173
39,0,acquaintance,0.49089173
0,206,client,0.199685026
206,0,neighbor,0.199685026
1,575,friend,0.925816051
575,1,friend,0.925816051
1,578,neighbor,0.45776521
578,1,acquaintance,0.45776521
1,322,neighbor,0.276526214
322,1,partner,0.276526214
1,485,child,0.9
485,1,parent,0.9
1,858,colleague,0.6
858,1,colleague,0.6
1,743,friend,0.792491606
743,1,friend,0.792491606
1,569,client,0.206149631
569,1,neighbor,0.206149631
1,860,friend,0.762655395
860,1,friend,0.762655395
1,651,acquaintance,0.310679537
651,1,neighbor,0.310679537
1,225,friend,0.905910063
225,1,friend,0.905910063
1,196,child,0.9
196,1,parent,0.9
1,609,acquaintance,0.332885165
609,1,client,0.332885165
1,570,client,0.239324146
570,1,neighbor,0.239324146
2,893,father,0.9
893,2,child,0.9
2,29,father,0.9
29,2,child,0.9
2,437,father,0.9
437,2,child,0.9
2,167,father,0.9
167,2,child,0.9
2,900,father,0.9
900,2,child,0.9
2,985,father,0.9
985,2,child,0.9
2,806,acquaintance,0.401605197
806,2,client,0.401605197
2,384,father,0.9
384,2,child,0.9
3,278,child,0.9
278,3,parent,0.9
3,472,friend,0.632265699
472,3,friend,0.632265699
3,371,friend,0.851517179
371,3,friend,0.851517179
3,897,friend,0.920322572
897,3,friend,0.920322572
4,492,father,0.9
492,4,child,0.9
4,821,friend,0.773000137
821,4,friend,0.773000137
4,796,father,0.9
796,4,child,0.9
5,767,friend,0.848504095
767,5,friend,0.848504095
5,948,friend,0.546298133
948,5,friend,0.546298133
5,65,colleague,0.6
65,5,colleague,0.6
5,323,friend,0.884174428
323,5,friend,0.884174428
5,595,friend,0.853197082
595,5,friend,0.853197082
5,376,partner,0.313388626
376,5,partner,0.313388626
5,189,friend,0.525589537
189,5,friend,0.525589537
5,473,friend,0.860156891
473,5,friend,0.860156891
5,898,friend,0.801533079
898,5,friend,0.801533079
5,870,client,0.157948107
870,5,acquaintance,0.157948107
5,431,mother,0.9
431,5,child,0.9
5,418,friend,0.516142762
418,5,friend,0.516142762
6,848,father,0.9
848,6,child,0.9
6,498,partner,0.304048712
498,6,acquaintance,0.304048712
6,201,partner,0.406696372
201,6,neighbor,0.406696372
6,256,acquaintance,0.417534557
256,6,partner,0.417534557
6,959,father,0.9
959,6,child,0.9
6,811,neighbor,0.344361647
811,6,acquaintance,0.344361647
6,622,father,0.9
622,6,child,0.9
6,781,colleague,0.6
781,6,colleague,0.6
6,197,father,0.9
197,6,child,0.9
6,766,acquaintance,0.15602163
766,6,acquaintance,0.15602163
6,215,friend,0.524845725
215,6,friend,0.524845725
7,551,child,0.9
551,7,parent,0.9
7,786,neighbor,0.478650433
786,7,client,0.478650433
7,328,neighbor,0.369738068
328,7,client,0.369738068
7,417,child,0.9
417,7,parent,0.9
7,826,child,0.9
826,7,parent,0.9
7,928,acquaintance,0.215881952
928,7,neighbor,0.215881952
7,736,acquaintance,0.283738944
736,7,client,0.283738944
7,975,child,0.9
975,7,parent,0.9
7,24,child,0.9
24,7,parent,0.9
7,689,friend,0.631047088
689,7,friend,0.631047088
8,481,child,0.9
481,8,parent,0.9
8,734,child,0.9
734,8,parent,0.9
9,367,acquaintance,0.476276208
367,9,partner,0.476276208
9,311,client,0.263359021
311,9,partner,0.263359021
9,284,colleague,0.6
284,9,colleague,0.6
9,909,child,0.9
909,9,parent,0.9
9,447,child,0.9
447,9,parent,0.9
9,983,partner,0.255738512
983,9,acquaintance,0.255738512
9,370,child,0.9
370,9,parent,0.9
9,420,child,0.9
420,9,parent,0.9
9,990,child,0.9
990,9,parent,0.9
9,976,child,0.9
976,9,parent,0.9
9,862,partner,0.075378805
862,9,client,0.075378805
9,740,client,0.122584769
740,9,client,0.122584769
9,231,child,0.9
231,9,parent,0.9
9,790,friend,0.719664866
790,9,friend,0.719664866
10,620,child,0.9
620,10,parent,0.9
10,823,child,0.9
823,10,parent,0.9
10,530,friend,0.842710449
530,10,friend,0.842710449
10,512,colleague,0.6
512,10,colleague,0.6
11,561,partner,0.326802101
561,11,client,0.326802101
11,117,acquaintance,0.180252637
117,11,partner,0.180252637
11,212,friend,0.50553355
212,11,friend,0.50553355
11,392,client,0.350442855
392,11,neighbor,0.350442855
11,666,friend,0.564050884
666,11,friend,0.564050884
11,483,neighbor,0.109223247
483,11,neighbor,0.109223247
11,431,mother,0.9
431,11,child,0.9
11,124,client,0.34472493
124,11,acquaintance,0.34472493
11,498,acquaintance,0.487707001
498,11,client,0.487707001
11,402,acquaintance,0.240009093
402,11,partner,0.240009093
11,143,mother,0.9
143,11,child,0.9
11,44,friend,0.684976028
44,11,friend,0.684976028
11,903,mother,0.9
903,11,child,0.9
11,620,colleague,0.6
620,11,colleague,0.6
11,618,friend,0.842933608
618,11,friend,0.842933608
11,694,neighbor,0.39099728
694,11,acquaintance,0.39099728
11,118,mother,0.9
118,11,child,0.9
11,194,mother,0.9
194,11,child,0.9
11,711,mother,0.9
711,11,child,0.9
12,494,friend,0.946778881
494,12,friend,0.946778881
12,351,friend,0.602872215
351,12,friend,0.602872215
12,317,friend,0.7055213
317,12,friend,0.7055213
12,573,acquaintance,0.131927952
573,12,client,0.131927952
13,567,child,0.9
567,13,parent,0.9
13,542,neighbor,0.391274713
542,13,acquaintance,0.391274713
13,598,acquaintance,0.298712803
598,13,neighbor,0.298712803
13,995,child,0.9
995,13,parent,0.9
13,87,friend,0.940800273
87,13,friend,0.940800273
13,534,client,0.411154644
534,13,neighbor,0.411154644
13,313,partner,0.337401337
313,13,acquaintance,0.337401337
13,828,child,0.9
828,13,parent,0.9
13,707,friend,0.99210679
707,13,friend,0.99210679
13,637,client,0.410333325
637,13,client,0.410333325
13,106,child,0.9
106,13,parent,0.9
14,110,child,0.9
110,14,parent,0.9
14,960,neighbor,0.323681348
960,14,client,0.323681348
14,552,partner,0.000303929
552,14,neighbor,0.000303929
14,541,child,0.9
541,14,parent,0.9
14,368,child,0.9
368,14,parent,0.9
14,15,neighbor,0.378887074
15,14,partner,0.378887074
14,399,neighbor,0.124224286
399,14,neighbor,0.124224286
14,382,partner,0.321556036
382,14,acquaintance,0.321556036
14,868,neighbor,0.092842045
868,14,neighbor,0.092842045
14,993,child,0.9
993,14,parent,0.9
14,886,client,0.361409524
886,14,neighbor,0.361409524
14,933,child,0.9
933,14,parent,0.9
14,947,child,0.9
947,14,parent,0.9
14,264,child,0.9
264,14,parent,0.9
14,7,acquaintance,0.04598052
7,14,neighbor,0.04598052
14,608,child,0.9
608,14,parent,0.9
14,683,partner,0.054718778
683,14,partner,0.054718778
15,401,partner,0.010882203
401,15,acquaintance,0.010882203
15,141,child,0.9
141,15,parent,0.9
15,591,child,0.9
591,15,parent,0.9
15,439,neighbor,0.250661707
439,15,neighbor,0.250661707
15,378,child,0.9
378,15,parent,0.9
15,786,acquaintance,0.232799312
786,15,client,0.232799312
15,228,neighbor,0.021182229
228,15,neighbor,0.021182229
15,848,friend,0.810543082
848,15,friend,0.810543082
15,55,neighbor,0.31831153
55,15,acquaintance,0.31831153
15,169,child,0.9
169,15,parent,0.9
15,352,child,0.9
352,15,parent,0.9
15,531,neighbor,0.031684612
531,15,client,0.031684612
15,290,child,0.9
290,15,parent,0.9
15,304,child,0.9
304,15,parent,0.9
15,414,child,0.9
414,15,parent,0.9
15,351,acquaintance,0.424574098
351,15,neighbor,0.424574098
15,561,child,0.9
561,15,parent,0.9
15,552,acquaintance,0.08331528
552,15,partner,0.08331528
15,328,child,0.9
328,15,parent,0.9
16,643,child,0.9
643,16,parent,0.9
16,294,friend,0.625166095
294,16,friend,0.625166095
16,694,child,0.9
694,16,parent,0.9
16,476,acquaintance,0.488946356
476,16,neighbor,0.488946356
16,851,neighbor,0.420563545
851,16,acquaintance,0.420563545
16,963,child,0.9
963,16,parent,0.9
16,670,friend,0.687064038
670,16,friend,0.687064038
17,875,friend,0.56595877
875,17,friend,0.56595877
17,76,partner,0.102808509
76,17,client,0.102808509
17,664,friend,0.731826217
664,17,friend,0.731826217
17,405,neighbor,0.35576414
405,17,client,0.35576414
17,789,colleague,0.6
789,17,colleague,0.6
17,412,friend,0.85468288
412,17,friend,0.85468288
17,522,child,0.9
522,17,parent,0.9
17,302,colleague,0.6
302,17,colleague,0.6
17,434,friend,0.947171789
434,17,friend,0.947171789
17,523,friend,0.951695571
523,17,friend,0.951695571
17,129,client,0.476102874
129,17,partner,0.476102874
17,285,neighbor,0.471884448
285,17,acquaintance,0.471884448
17,882,friend,0.862495595
882,17,friend,0.862495595
17,368,child,0.9
368,17,parent,0.9
17,513,friend,0.60714207
513,17,friend,0.60714207
17,643,child,0.9
643,17,parent,0.9
17,593,colleague,0.6
593,17,colleague,0.6
18,381,partner,0.123093393
